dist. (cm),avg LX, avg LY, avg RX,avg RY,xDiff,yDiff
60,195,265,302,260,107,-5
80,210,230,290,227,80,-3
100,224,213,288,210,64,-3
120,228,195,284,400,56,205
140,232,185,279,580,47,395
160,235,178,276,755,41,577
180,238,173,273,925,35,752
200,239,170,271,1091,32,921
220,240,167,269,1255,29,1088
240,241,164,267,1416,26,1252
260,242,162,265,1576,23,1414
280,246,160,267,1733,21,1573
300,247,159,267,1889,20,1730
320,246,157,265,2043,19,1886
340,248,156,265,2196,17,2040
360,248,154,264,2347,16,2193
380,249,154,264,2497,15,2343
400,249,152,264,2647,15,2495
420,251,151,264,2795,13,2644
440,250,150,263,2942,13,2792
460,250,150,262,3089,12,2939
480,251,149,262,3236,11,3087
500,252,149,262,3383,10,3234
520,252,149,262,3529,10,3380
540,251,149,261,3675,10,3526
560,252,148,261,3820,9,3672
580,252,148,260,3965,8,3817
600,252,147,260,4109,8,3962
